Segment,Ship Mode,Order ID,Sales
consumer,Second Class,CA-2011-100706,129.44
consumer,Standard Class,CA-2011-100895,605.47
consumer,Second Class,CA-2011-101266,13.36
consumer,First Class,CA-2011-103366,149.95
consumer,Standard Class,CA-2011-104283,616.14
consumer,Standard Class,CA-2011-107573,23.472
consumer,First Class,CA-2011-109043,243.60000000000002
consumer,Second Class,CA-2011-109232,545.9399999999999
consumer,Standard Class,CA-2011-110100,302.376
consumer,Second Class,CA-2011-110422,25.248
consumer,Same Day,CA-2011-113047,11.850000000000001
consumer,First Class,CA-2011-113166,9.568000000000001
consumer,Standard Class,CA-2011-114335,337.088
consumer,Second Class,CA-2011-115357,62.91
consumer,Standard Class,CA-2011-116190,256.47999999999996
consumer,Same Day,CA-2011-116239,354.90000000000003
consumer,Standard Class,CA-2011-116407,362.17600000000004
consumer,Standard Class,CA-2011-116568,186.304
consumer,Standard Class,CA-2011-117016,15.552000000000003
consumer,Second Class,CA-2011-120768,1979.89
consumer,Standard Class,CA-2011-120950,43.68
consumer,Standard Class,CA-2011-123400,199.29600000000002
consumer,Second Class,CA-2011-123925,40.05
consumer,First Class,CA-2011-124023,8.96
consumer,Second Class,CA-2011-124618,479.98400000000004
consumer,Standard Class,CA-2011-127299,2692.329
consumer,Second Class,CA-2011-127488,4.608
consumer,Standard Class,CA-2011-127614,1508.13
consumer,Standard Class,CA-2011-128839,254.96999999999997
consumer,First Class,CA-2011-130155,34.2
consumer,Same Day,CA-2011-130428,1142.1649999999997
consumer,Second Class,CA-2011-130918,7.6320000000000014
consumer,Standard Class,CA-2011-131527,95.968
consumer,Same Day,CA-2011-131541,193.152
consumer,Second Class,CA-2011-132612,1441.3
consumer,Standard Class,CA-2011-134551,732.312
consumer,First Class,CA-2011-136861,31.983999999999998
consumer,Standard Class,CA-2011-138296,24.56
consumer,Standard Class,CA-2011-138709,37.44
consumer,Standard Class,CA-2011-140886,69.21600000000001
consumer,Second Class,CA-2011-142727,69.9
consumer,Same Day,CA-2011-142951,23.472
consumer,Standard Class,CA-2011-143182,15.384
consumer,Standard Class,CA-2011-143840,180.93
consumer,Second Class,CA-2011-145576,26.128
consumer,Standard Class,CA-2011-146731,147.34400000000002
consumer,Standard Class,CA-2011-149958,370.78200000000004
consumer,Same Day,CA-2011-152254,310.688
consumer,Standard Class,CA-2011-152268,1793.98
consumer,First Class,CA-2011-153927,286.65000000000003
consumer,Second Class,CA-2011-154158,619.8480000000002
consumer,Standard Class,CA-2011-155390,42.208
consumer,Second Class,CA-2011-155852,19.456000000000003
consumer,Second Class,CA-2011-156006,47.79
consumer,Second Class,CA-2011-156790,155.45600000000002
consumer,First Class,CA-2011-157784,514.0300000000001
consumer,Second Class,CA-2011-158470,129.33
consumer,Standard Class,CA-2011-159184,149.56
consumer,Standard Class,CA-2011-159681,105.52
consumer,First Class,CA-2011-160094,1000.95
consumer,Standard Class,CA-2011-161634,32.400000000000006
consumer,Standard Class,CA-2011-163013,14.669999999999998
consumer,Standard Class,CA-2011-164315,1220.67
consumer,First Class,CA-2011-164749,9.912
consumer,Standard Class,CA-2011-165764,1395.6730000000002
consumer,Standard Class,CA-2011-166051,773.7
consumer,Second Class,CA-2011-166457,40.54
consumer,First Class,CA-2011-166730,39.128
consumer,Standard Class,CA-2011-169257,63.381
consumer,Second Class,CA-2011-169775,709.0425000000001
consumer,Standard Class,CA-2012-100888,47.952000000000005
consumer,Standard Class,CA-2012-101868,175.32
consumer,Standard Class,CA-2012-102491,3747.9300000000003
consumer,Standard Class,CA-2012-102582,1918.79
consumer,First Class,CA-2012-102722,106.5
consumer,First Class,CA-2012-102778,18.176
consumer,Standard Class,CA-2012-103093,74.52
consumer,Standard Class,CA-2012-104115,55.98400000000001
consumer,Standard Class,CA-2012-107678,893.09
consumer,Standard Class,CA-2012-108119,301.96
consumer,Second Class,CA-2012-109386,750.93
consumer,Standard Class,CA-2012-110247,8.226
consumer,Second Class,CA-2012-110345,4.608
consumer,Standard Class,CA-2012-111199,115.296
consumer,Standard Class,CA-2012-111703,27.504000000000005
consumer,Standard Class,CA-2012-112375,78.19200000000001
consumer,Standard Class,CA-2012-114300,371.65999999999997
consumer,Standard Class,CA-2012-114503,84.96000000000001
consumer,Standard Class,CA-2012-115938,535.36
consumer,Second Class,CA-2012-116638,4297.644
consumer,First Class,CA-2012-117828,194.32
consumer,Same Day,CA-2012-117884,598.352
consumer,Standard Class,CA-2012-118444,387.136
consumer,Standard Class,CA-2012-118843,199.86
consumer,Standard Class,CA-2012-119480,364.07
consumer,Standard Class,CA-2012-119634,46.152
consumer,Standard Class,CA-2012-120516,5.64
consumer,Standard Class,CA-2012-120621,1270.379
consumer,Standard Class,CA-2012-122266,194.1395
consumer,Standard Class,CA-2012-123092,288.85
consumer,Standard Class,CA-2012-123330,107.97600000000001
consumer,Standard Class,CA-2012-125563,121.88799999999999
consumer,Standard Class,CA-2012-125976,2026.7800000000002
consumer,Second Class,CA-2012-128027,269.49
consumer,Standard Class,CA-2012-128139,365.91
consumer,Standard Class,CA-2012-129098,30.84
consumer,First Class,CA-2012-130218,59.480000000000004
consumer,First Class,CA-2012-132318,182.91
consumer,Standard Class,CA-2012-133242,1046.47
consumer,Second Class,CA-2012-134257,498.93
consumer,Standard Class,CA-2012-134719,1801.632
consumer,Standard Class,CA-2012-134782,105.42
consumer,Standard Class,CA-2012-134894,436.86
consumer,Standard Class,CA-2012-136147,233.06400000000002
consumer,Same Day,CA-2012-136224,10.272000000000002
consumer,First Class,CA-2012-137974,2298.8999999999996
consumer,Standard Class,CA-2012-138457,13.092000000000002
consumer,First Class,CA-2012-138625,197.72
consumer,Standard Class,CA-2012-141145,87.168
consumer,First Class,CA-2012-141327,440.144
consumer,Standard Class,CA-2012-141565,1664.132
consumer,Standard Class,CA-2012-142755,919.4899999999999
consumer,Standard Class,CA-2012-143119,517.5
consumer,Standard Class,CA-2012-143532,14.496000000000002
consumer,Standard Class,CA-2012-144288,19.584000000000003
consumer,Standard Class,CA-2012-145352,6412.7699999999995
consumer,Standard Class,CA-2012-147879,45.68
consumer,Standard Class,CA-2012-148705,5.04
consumer,First Class,CA-2012-149300,32.985
consumer,First Class,CA-2012-150560,196.62
consumer,Second Class,CA-2012-150749,5.56
consumer,Standard Class,CA-2012-151547,88.96000000000001
consumer,Second Class,CA-2012-153325,58.72
consumer,Standard Class,CA-2012-153535,169.54399999999998
consumer,Standard Class,CA-2012-153626,5.16
consumer,Second Class,CA-2012-153752,173.94
consumer,Same Day,CA-2012-155068,78.456
consumer,Second Class,CA-2012-155600,1635.0180000000003
consumer,Standard Class,CA-2012-155635,48.81
consumer,Standard Class,CA-2012-156328,177.48000000000002
consumer,Standard Class,CA-2012-158148,36.269999999999996
consumer,Standard Class,CA-2012-158421,3631.96
consumer,Standard Class,CA-2012-162537,104.51
consumer,Standard Class,CA-2012-162761,50.462
consumer,Standard Class,CA-2012-163965,377.90200000000004
consumer,First Class,CA-2012-165414,47.976
consumer,Standard Class,CA-2012-165624,1142.4299999999998
consumer,Standard Class,CA-2012-167696,31.12
consumer,Standard Class,CA-2012-168459,58.050000000000004
consumer,Second Class,CA-2012-169733,9.952
consumer,Standard Class,CA-2012-169740,29.99
consumer,Same Day,CA-2013-101378,29
consumer,Standard Class,CA-2013-101469,7.7
consumer,Second Class,CA-2013-101525,140.52
consumer,First Class,CA-2013-102092,1056.86
consumer,Standard Class,CA-2013-102162,1611.01
consumer,First Class,CA-2013-102498,73.2
consumer,Standard Class,CA-2013-104157,2503.47
consumer,Standard Class,CA-2013-104276,447.7830000000001
consumer,Same Day,CA-2013-105256,1363.96
consumer,Same Day,CA-2013-106894,107.83
